cycle,command,param_len,params
3435252,0x0E,1,80
3455273,0x02,3,00 22 14
3474820,0x06,0,
28092613,0x09,0,
30652732,0x0E,1,03
30715143,0x0C,0,
30777612,0x03,1,03
32905975,0x01,0,
49829860,0x01,0,
66968836,0x01,0,
84104742,0x01,0,
101242549,0x01,0,
118380285,0x01,0,
135514843,0x01,0,
152652446,0x01,0,
169791320,0x01,0,
186927202,0x01,0,
206326159,0x09,0,
207349001,0x0E,1,80
207369011,0x02,3,00 15 51
207388553,0x06,0,
240762344,0x09,0,
240792372,0x09,0,
247007499,0x0E,1,80
247027539,0x02,3,00 17 04
247047088,0x06,0,
248977978,0x09,0,
249016030,0x0E,1,80
249035997,0x02,3,00 17 28
249055520,0x06,0,
254182432,0x09,0,
254738849,0x0E,1,80
254758888,0x02,3,00 17 35
254778427,0x06,0,
257525317,0x09,0,
257594703,0x0E,1,80
257614739,0x02,3,00 17 43
257634264,0x06,0,
260330651,0x09,0,
260450888,0x0E,1,80
260470932,0x02,3,00 17 51
260490456,0x06,0,
263237418,0x09,0,
263307066,0x0E,1,80
263327084,0x02,3,00 17 59
263346608,0x06,0,
266093521,0x09,0,
266163173,0x0E,1,80
266183215,0x02,3,00 17 67
266202738,0x06,0,
268949719,0x09,0,
269019373,0x0E,1,80
269039403,0x02,3,00 18 00
269058928,0x06,0,
271805873,0x09,0,
271875554,0x0E,1,80
271895597,0x02,3,00 18 08
271915152,0x06,0,
274662116,0x09,0,
274731719,0x0E,1,80
274751755,0x02,3,00 18 16
274771304,0x06,0,
277518311,0x09,0,
277587917,0x0E,1,80
277607943,0x02,3,00 18 24
277627466,0x06,0,
280374530,0x09,0,
280444097,0x0E,1,80
280464132,0x02,3,00 18 32
280483656,0x06,0,
283230566,0x09,0,
283300269,0x0E,1,80
283320328,0x02,3,00 18 40
283339875,0x06,0,
286086954,0x09,0,
286156452,0x0E,1,80
286176486,0x02,3,00 18 48
286196033,0x06,0,
288943008,0x09,0,
289012624,0x0E,1,80
289032675,0x02,3,00 18 56
289052224,0x06,0,
290196422,0x09,0,
290233132,0x0E,1,80
290253097,0x02,3,00 18 65
290272656,0x06,0,
293947452,0x09,0,
294153792,0x0E,1,80
294173804,0x02,3,00 18 72
294193334,0x06,0,
296940291,0x09,0,
297009927,0x0E,1,80
297029979,0x02,3,00 19 05
297049536,0x06,0,
299796637,0x09,0,
299866118,0x0E,1,80
299886171,0x02,3,00 19 13
299905728,0x06,0,
302652727,0x09,0,
302722299,0x0E,1,80
302742326,0x02,3,00 19 21
302761849,0x06,0,
305508969,0x09,0,
305578479,0x0E,1,80
305598515,0x02,3,00 19 29
305618064,0x06,0,
308364985,0x09,0,
308434664,0x0E,1,80
308454707,0x02,3,00 19 37
308474256,0x06,0,
311221285,0x09,0,
311290850,0x0E,1,80
311310892,0x02,3,00 19 45
311330416,0x06,0,
314077403,0x09,0,
314147015,0x0E,1,80
314167052,0x02,3,00 19 53
314186584,0x06,0,
316933455,0x09,0,
317003196,0x0E,1,80
317023238,0x02,3,00 19 61
317042761,0x06,0,
319789712,0x09,0,
319859365,0x0E,1,80
319879403,0x02,3,00 19 69
319898952,0x06,0,
322645961,0x09,0,
322715550,0x0E,1,80
322735587,0x02,3,00 20 02
322755112,0x06,0,
324994805,0x09,0,
325029594,0x0E,1,80
325049585,0x02,3,00 20 18
325069140,0x06,0,
327944616,0x09,0,
328427951,0x0E,1,80
328447996,0x02,3,00 20 20
328467510,0x06,0,
331179034,0x09,0,
331284086,0x0E,1,80
331304131,0x02,3,00 20 28
331323680,0x06,0,
334070635,0x09,0,
334140272,0x0E,1,80
334160315,0x02,3,00 20 36
334179840,0x06,0,
336916956,0x09,0,
336996456,0x0E,1,80
337016508,0x02,3,00 20 44
337036032,0x06,0,
339783079,0x09,0,
339852635,0x0E,1,80
339872669,0x02,3,00 20 52
339892216,0x06,0,
342639116,0x09,0,
342708805,0x0E,1,80
342728849,0x02,3,00 20 60
342748380,0x06,0,
345495320,0x09,0,
345564984,0x0E,1,80
345585011,0x02,3,00 20 68
345604536,0x06,0,
348351467,0x09,0,
348421167,0x0E,1,80
348441204,0x02,3,00 21 01
348460728,0x06,0,
351192229,0x09,0,
351277346,0x0E,1,80
351297396,0x02,3,00 21 09
351316944,0x06,0,
354063911,0x09,0,
354133526,0x0E,1,80
354153555,0x02,3,00 21 17
354173104,0x06,0,
356920123,0x09,0,
356989699,0x0E,1,80
357009741,0x02,3,00 21 25
357029264,0x06,0,
359776215,0x09,0,
359845885,0x0E,1,80
359865936,0x02,3,00 21 33
359885483,0x06,0,
362632380,0x09,0,
362702060,0x0E,1,80
362722086,0x02,3,00 21 41
362741609,0x06,0,
365488692,0x09,0,
365558245,0x0E,1,80
365578279,0x02,3,00 21 49
365597802,0x06,0,
368344831,0x09,0,
368414429,0x0E,1,80
368434463,0x02,3,00 21 57
368453994,0x06,0,
371201015,0x09,0,
371270602,0x0E,1,80
371290629,0x02,3,00 21 65
371310184,0x06,0,
374057221,0x09,0,
374126790,0x0E,1,80
374146819,0x02,3,00 21 73
374166368,0x06,0,
376913422,0x09,0,
376982962,0x0E,1,80
377003004,0x02,3,00 22 06
377022528,0x06,0,
379497883,0x09,0,
379578240,0x0E,1,80
379598260,0x02,3,00 16 74
379617808,0x06,0,
390540093,0x09,0,
390693320,0x0E,1,80
390713300,0x02,3,00 16 73
390732824,0x06,0,
392709349,0x09,0,
392777418,0x0E,1,80
392797429,0x02,3,00 17 11
392816968,0x06,0,
399351625,0x09,0,
399854655,0x0E,1,80
399874627,0x02,3,00 17 05
399894160,0x06,0,
404742669,0x09,0,
404989969,0x0E,1,80
405009968,0x02,3,00 17 11
405029515,0x06,0,
409751043,0x09,0,
409779958,0x0E,1,80
409799816,0x02,3,00 18 57
409819339,0x06,0,
416662092,0x09,0,
416996207,0x0E,1,80
417016230,0x02,3,00 20 13
417035785,0x06,0,
423079163,0x09,0,
423230734,0x0E,1,80
423250710,0x02,3,00 20 08
423270233,0x06,0,
426777185,0x09,0,
426985313,0x0E,1,80
427005327,0x02,3,00 16 74
427024874,0x06,0,
435473299,0x09,0,
435503109,0x0E,1,80
435522967,0x02,3,00 22 13
435542498,0x06,0,
445508957,0x09,0,
1327730689,0x0E,1,03
1328182361,0x0C,0,
1329604840,0x03,1,02
1347039826,0x01,0,
1363886908,0x01,0,
1381355584,0x01,0,
1398654224,0x01,0,
1415574116,0x01,0,
1432833357,0x01,0,
1449507202,0x01,0,
1466739087,0x01,0,
1484143260,0x01,0,
1500664126,0x01,0,
1517801045,0x01,0,
1534936175,0x01,0,
1552798115,0x01,0,
1570041514,0x01,0,
1587422333,0x01,0,
1604359697,0x01,0,
1620969963,0x01,0,
1638172722,0x01,0,
1654913863,0x01,0,
1672036276,0x01,0,
1689700968,0x01,0,
1706944926,0x01,0,
1724091801,0x01,0,
1741364154,0x01,0,
1758285255,0x01,0,
1774855446,0x01,0,
1791672245,0x09,0,
