psoxide-tape,v2,clock=video_frame,start_poll=0
frame,buttons,right_x,right_y,left_x,left_y
0,0,128,128,128,128
1,0,128,128,128,128
2,0,128,128,128,128
3,0,128,128,128,128
4,0,128,128,128,128
5,0,128,128,128,128
6,0,128,128,128,128
7,0,128,128,128,128
8,0,128,128,128,128
9,0,128,128,128,128
10,0,128,128,128,128
11,0,128,128,128,128
12,0,128,128,128,128
13,0,128,128,128,128
14,0,128,128,128,128
15,0,128,128,128,128
16,0,128,128,128,128
17,0,128,128,128,128
18,0,128,128,128,128
19,0,128,128,128,128
20,0,128,128,128,128
21,0,128,128,128,128
22,0,128,128,128,128
23,0,128,128,128,128
24,0,128,128,128,128
25,0,128,128,128,128
26,0,128,128,128,128
27,0,128,128,128,128
28,0,128,128,128,128
29,0,128,128,128,128
30,16,128,128,128,128
31,16,128,128,128,128
32,16,128,128,128,128
33,16,128,128,128,128
34,16,128,128,128,128
35,16,128,128,128,128
36,16,128,128,128,128
37,16,128,128,128,128
38,16,128,128,128,128
39,16,128,128,128,128
40,16,128,128,128,128
41,16,128,128,128,128
42,16,128,128,128,128
43,16,128,128,128,128
44,16,128,128,128,128
45,16,128,128,128,128
46,16,128,128,128,128
47,16,128,128,128,128
48,16,128,128,128,128
49,16,128,128,128,128
50,16,128,128,128,128
51,16,128,128,128,128
52,16,128,128,128,128
53,16,128,128,128,128
54,16400,128,128,128,128
55,16400,128,128,128,128
56,16400,128,128,128,128
57,16400,128,128,128,128
58,16,128,128,128,128
59,16,128,128,128,128
60,16,128,128,128,128
61,16,128,128,128,128
62,16,128,128,128,128
63,16,128,128,128,128
64,16,128,128,128,128
65,16,128,128,128,128
66,16,128,128,128,128
67,16,128,128,128,128
68,16,128,128,128,128
69,16,128,128,128,128
70,16,128,128,128,128
71,16,128,128,128,128
72,16,128,128,128,128
73,16,128,128,128,128
74,16,128,128,128,128
75,16,128,128,128,128
76,16,128,128,128,128
77,16,128,128,128,128
78,16,128,128,128,128
79,16,128,128,128,128
80,16,128,128,128,128
81,16,128,128,128,128
82,16,128,128,128,128
83,16,128,128,128,128
84,16,128,128,128,128
85,16,128,128,128,128
86,16,128,128,128,128
87,16,128,128,128,128
88,16,128,128,128,128
89,16,128,128,128,128
90,16,128,128,128,128
91,16,128,128,128,128
92,16,128,128,128,128
93,16,128,128,128,128
94,16,128,128,128,128
95,16,128,128,128,128
96,16,128,128,128,128
97,16,128,128,128,128
98,16,128,128,128,128
99,16,128,128,128,128
100,16,128,128,128,128
101,16,128,128,128,128
102,16,128,128,128,128
103,16,128,128,128,128
104,16,128,128,128,128
105,16,128,128,128,128
106,16,128,128,128,128
107,16,128,128,128,128
108,16,128,128,128,128
109,16,128,128,128,128
110,16,128,128,128,128
111,16,128,128,128,128
112,16,128,128,128,128
113,16,128,128,128,128
114,16,128,128,128,128
115,16,128,128,128,128
116,16,128,128,128,128
117,16,128,128,128,128
118,16,128,128,128,128
119,16,128,128,128,128
120,16,128,128,128,128
121,16,128,128,128,128
122,16,128,128,128,128
123,16,128,128,128,128
124,16,128,128,128,128
125,16,128,128,128,128
126,16,128,128,128,128
127,16,128,128,128,128
128,16,128,128,128,128
129,16,128,128,128,128
130,16,128,128,128,128
131,16,128,128,128,128
132,16,128,128,128,128
133,16,128,128,128,128
134,16,128,128,128,128
135,16,128,128,128,128
136,16,128,128,128,128
137,16,128,128,128,128
138,16,128,128,128,128
139,16,128,128,128,128
140,16,128,128,128,128
141,16,128,128,128,128
142,16,128,128,128,128
143,16,128,128,128,128
144,16,128,128,128,128
145,16,128,128,128,128
146,16,128,128,128,128
147,16,128,128,128,128
148,16,128,128,128,128
149,16,128,128,128,128
150,16,128,128,128,128
151,16,128,128,128,128
152,16,128,128,128,128
153,16,128,128,128,128
154,16,128,128,128,128
155,16,128,128,128,128
156,16,128,128,128,128
157,16,128,128,128,128
158,16,128,128,128,128
159,16,128,128,128,128
160,16,128,128,128,128
161,16,128,128,128,128
162,16,128,128,128,128
163,16,128,128,128,128
164,16,128,128,128,128
165,16,128,128,128,128
166,16,128,128,128,128
167,16,128,128,128,128
168,16,128,128,128,128
169,16,128,128,128,128
170,16,128,128,128,128
171,16,128,128,128,128
172,16,128,128,128,128
173,16,128,128,128,128
174,16,128,128,128,128
175,16,128,128,128,128
176,16,128,128,128,128
177,16,128,128,128,128
178,16,128,128,128,128
179,16,128,128,128,128
180,0,128,128,128,128
181,0,128,128,128,128
182,0,128,128,128,128
183,0,128,128,128,128
184,0,128,128,128,128
185,0,128,128,128,128
186,0,128,128,128,128
187,0,128,128,128,128
188,0,128,128,128,128
189,0,128,128,128,128
190,0,128,128,128,128
191,0,128,128,128,128
192,0,128,128,128,128
193,0,128,128,128,128
194,0,128,128,128,128
195,0,128,128,128,128
196,0,128,128,128,128
197,0,128,128,128,128
198,0,128,128,128,128
199,0,128,128,128,128
200,0,128,128,128,128
201,0,128,128,128,128
202,0,128,128,128,128
203,0,128,128,128,128
204,0,128,128,128,128
205,0,128,128,128,128
206,0,128,128,128,128
207,0,128,128,128,128
208,0,128,128,128,128
209,0,128,128,128,128
210,0,128,128,128,128
211,0,128,128,128,128
212,0,128,128,128,128
213,0,128,128,128,128
214,0,128,128,128,128
215,0,128,128,128,128
216,0,128,128,128,128
217,0,128,128,128,128
218,0,128,128,128,128
219,0,128,128,128,128
