   Compiling psxed-project v0.1.0 (/Users/ebonura/Desktop/repos/PSoXide/editor/crates/psxed-project)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 5.23s
     Running `target/debug/examples/audit_cortex04b_light`
8928 vertices, 0 differ > 6 total RGB
(0, [1536.0, 2816.0, -7424.0], [32, 179, 234], [32, 255, 32], [32, 179, 234])
(0, [1536.0, 2816.0, -6144.0], [32, 137, 176], [32, 32, 32], [32, 137, 176])
(0, [1536.0, 1536.0, -6144.0], [32, 129, 165], [32, 32, 32], [32, 129, 165])
(0, [1536.0, 1536.0, -7424.0], [32, 33, 33], [32, 32, 32], [32, 33, 33])
(0, [1536.0, 2816.0, -6144.0], [32, 137, 176], [32, 32, 32], [32, 137, 176])
(0, [1536.0, 2816.0, -4096.0], [32, 115, 146], [32, 32, 32], [32, 115, 146])
(0, [1536.0, 1536.0, -4096.0], [32, 109, 138], [32, 32, 32], [32, 109, 138])
(0, [1536.0, 1536.0, -6144.0], [32, 129, 165], [32, 32, 32], [32, 129, 165])
(0, [1536.0, 2816.0, -4096.0], [32, 115, 146], [32, 32, 32], [32, 115, 146])
(0, [1536.0, 2816.0, -2048.0], [32, 118, 150], [32, 32, 32], [32, 118, 150])
(0, [1536.0, 1536.0, -2048.0], [32, 113, 142], [32, 32, 32], [32, 113, 142])
(0, [1536.0, 1536.0, -4096.0], [32, 109, 138], [32, 32, 32], [32, 109, 138])
(0, [1536.0, 2816.0, -2048.0], [32, 118, 150], [32, 32, 32], [32, 118, 150])
(0, [1536.0, 2816.0, -1792.0], [32, 117, 148], [32, 32, 32], [32, 117, 148])
(0, [1536.0, 1536.0, -1792.0], [32, 111, 141], [32, 32, 32], [32, 111, 141])
(0, [1536.0, 1536.0, -2048.0], [32, 113, 142], [32, 32, 32], [32, 113, 142])
(0, [1536.0, 1792.0, -7680.0], [32, 185, 242], [32, 204, 132], [32, 185, 242])
(0, [1536.0, 2816.0, -7680.0], [32, 191, 250], [32, 255, 136], [32, 191, 250])
(0, [1536.0, 2816.0, -7424.0], [32, 179, 234], [32, 255, 32], [32, 179, 234])
(0, [1536.0, 1792.0, -7424.0], [32, 173, 225], [32, 32, 32], [32, 173, 225])
