route_tick,tape_frame,cpu_tick,bus_cycles,cpu_tick_delta,bus_cycle_delta,display_x,display_y,display_width,display_height,display_start_changed,port1_polls,icache_refill_events_delta,icache_refill_words_delta,icache_refill_stall_cycles_delta
0,0,0,0,0,0,0,0,320,0,0,0,0,0,0
1,0,332442,571238,332442,571238,0,0,320,0,0,0,426,1687,2137
2,0,630674,1142478,298232,571240,0,0,320,240,0,2,414,1546,2008
3,0,960451,1713714,329777,571236,0,0,320,240,0,2,424,1603,2051
4,0,1379429,2284950,418978,571236,0,0,320,240,0,2,0,0,0
5,0,1673175,2856186,293746,571236,0,0,320,240,0,4,6924,25973,33602
6,0,1881473,3427422,208298,571236,0,0,320,240,0,5,353,1312,1706
7,0,2109026,3998658,227553,571236,0,0,320,240,0,5,154,577,747
8,0,2330875,4569903,221849,571245,0,0,320,240,0,5,0,0,0
9,0,2552722,5141139,221847,571236,0,0,320,240,0,5,0,0,0
10,0,2774570,5712388,221848,571249,0,0,320,240,0,5,0,0,0
11,0,2996421,6283630,221851,571242,0,0,320,240,0,5,0,0,0
12,0,3218267,6854866,221846,571236,0,0,320,240,0,5,0,0,0
13,0,3440116,7426116,221849,571250,0,0,320,240,0,5,0,0,0
14,0,3661969,7997352,221853,571236,0,0,320,240,0,5,0,0,0
15,0,3883812,8568593,221843,571241,0,0,320,240,0,5,0,0,0
16,0,4105662,9139844,221850,571251,0,0,320,240,0,5,0,0,0
17,0,4327515,9711080,221853,571236,0,0,320,240,0,5,0,0,0
18,0,4549361,10282316,221846,571236,0,0,320,240,0,5,0,0,0
19,0,4771208,10853564,221847,571248,0,0,320,240,0,5,0,0,0
20,0,4993059,11424806,221851,571242,0,0,320,240,0,5,0,0,0
21,0,5214905,11996042,221846,571236,0,0,320,240,0,5,0,0,0
22,0,5436754,12567292,221849,571250,0,0,320,240,0,5,0,0,0
23,0,5658605,13138534,221851,571242,0,0,320,240,0,5,0,0,0
24,0,5880451,13709770,221846,571236,0,0,320,240,0,5,0,0,0
25,0,6102300,14281020,221849,571250,0,0,320,240,0,5,0,0,0
26,0,6319548,14852262,217248,571242,0,0,320,240,0,5,55,219,274
27,0,6532398,15423501,212850,571239,0,0,320,240,0,5,0,0,0
28,0,6740893,15994748,208495,571247,0,0,320,240,0,5,0,0,0
29,0,6952655,16565987,211762,571239,0,0,320,240,0,5,0,0,0
30,0,7164946,17137225,212291,571238,0,0,320,240,0,5,6,21,27
31,0,7375794,17708465,210848,571240,0,0,320,240,0,5,0,0,0
32,0,7586296,18279701,210502,571236,0,0,320,240,0,5,0,0,0
33,0,7796177,18850943,209881,571242,0,0,320,240,0,5,0,0,0
34,0,8010348,19422179,214171,571236,0,0,320,240,0,5,0,0,0
35,0,8219321,19993418,208973,571239,0,0,320,240,0,5,0,0,0
36,0,8431688,20564668,212367,571250,0,0,320,240,0,5,0,0,0
37,0,8640114,21135910,208426,571242,0,0,320,240,0,5,0,0,0
38,0,8855750,21707146,215636,571236,0,0,320,240,0,5,0,0,0
39,0,9064166,22278390,208416,571244,0,0,320,240,0,5,0,0,0
40,0,9277073,22849636,212907,571246,0,0,320,240,0,5,0,0,0
41,0,9485518,23420872,208445,571236,0,0,320,240,0,5,0,0,0
42,0,9701169,23992116,215651,571244,0,0,320,240,0,5,0,0,0
43,0,9909620,24563359,208451,571243,0,0,320,240,0,5,0,0,0
44,0,10122366,25134597,212746,571238,0,0,320,240,0,5,0,0,0
45,0,10330951,25705845,208585,571248,0,0,320,240,0,5,0,0,0
46,0,10545391,26277081,214440,571236,0,0,320,240,0,5,0,0,0
47,0,10755004,26848323,209613,571242,0,0,320,240,0,5,0,0,0
48,0,10965793,27419559,210789,571236,0,0,320,240,0,5,0,0,0
49,0,11176339,27990796,210546,571237,0,0,320,240,0,5,0,0,0
50,0,11469502,28562033,293163,571237,0,0,320,240,0,5,1042,3858,5037
51,0,11786190,29133269,316688,571236,0,0,320,240,0,5,652,2381,3089
52,0,12100259,29704505,314069,571236,0,0,320,240,0,5,1300,4778,6309
53,0,12409937,30275745,309678,571240,0,0,320,240,0,8,1580,5794,7578
54,0,12677722,30846982,267785,571237,0,0,320,240,0,28,5189,19128,24979
55,0,12936288,31517257,258566,670275,0,0,320,240,0,54,9380,34568,45037
56,0,12961538,32088495,25250,571238,0,0,320,240,0,54,2682,10186,13139
57,0,12984487,32711852,22949,623357,0,240,320,240,1,55,1672,6272,8106
58,0,13090409,33333841,105922,621989,0,0,320,240,1,57,4272,16119,20872
59,0,13143866,33905079,53457,571238,0,0,320,240,0,58,3536,13372,17306
60,0,13286857,34476315,142991,571236,0,240,320,240,1,59,927,3468,4443
61,0,13340325,35047551,53468,571236,0,240,320,240,0,60,3533,13360,17311
62,0,13483320,35618793,142995,571242,0,0,320,240,1,61,928,3472,4482
63,0,13536793,36190033,53473,571240,0,0,320,240,0,62,3532,13356,17248
64,0,13679784,36761274,142991,571241,0,240,320,240,1,63,928,3472,4497
65,0,13733261,37332516,53477,571242,0,240,320,240,0,64,3532,13356,17252
66,0,13876251,37903757,142990,571241,0,0,320,240,1,65,928,3472,4513
67,0,13929731,38474993,53480,571236,0,0,320,240,0,66,3532,13356,17221
68,0,14072715,39046229,142984,571236,0,240,320,240,1,67,928,3472,4473
69,0,14126188,39617469,53473,571240,0,240,320,240,0,68,3532,13356,17259
70,0,14269174,40188709,142986,571240,0,0,320,240,1,69,928,3472,4490
71,0,14322639,40759949,53465,571240,0,0,320,240,0,70,3532,13356,17247
72,0,14465625,41331195,142986,571246,0,240,320,240,1,71,929,3476,4505
73,0,14519103,41902432,53478,571237,0,240,320,240,0,72,3531,13352,17231
74,0,14662091,42473669,142988,571237,0,0,320,240,1,73,931,3484,4513
75,0,14715576,43044905,53485,571236,0,0,320,240,0,74,3529,13344,17297
76,0,14858556,43616146,142980,571241,0,240,320,240,1,75,929,3476,4520
77,0,14912026,44187382,53470,571236,0,240,320,240,0,76,3531,13352,17225
78,0,15055007,44758618,142981,571236,0,0,320,240,1,77,930,3480,4540
79,0,15108481,45329859,53474,571241,0,0,320,240,0,78,3530,13348,17298
80,0,15251461,45901096,142980,571237,0,240,320,240,1,79,929,3476,4493
81,0,15304925,46472336,53464,571240,0,240,320,240,0,80,3531,13352,17274
82,0,15447909,47043577,142984,571241,0,0,320,240,1,81,931,3484,4513
83,0,15501404,47614815,53495,571238,0,0,320,240,0,82,3529,13344,17257
84,0,15644377,48186051,142973,571236,0,240,320,240,1,83,929,3476,4494
85,0,15697834,48757293,53457,571242,0,240,320,240,0,84,3532,13356,17234
86,0,15840814,49328535,142980,571242,0,0,320,240,1,85,931,3484,4543
87,0,15894620,49899777,53806,571242,0,0,320,240,0,86,3555,13441,17395
88,0,16037588,50471015,142968,571238,0,240,320,240,1,87,938,3506,4550
89,0,16091038,51042257,53450,571242,0,240,320,240,0,88,3532,13356,17262
90,0,16234015,51613497,142977,571240,0,0,320,240,1,89,933,3492,4540
91,0,16287503,52184737,53488,571240,0,0,320,240,0,90,3528,13340,17294
92,0,16430477,52755983,142974,571246,0,240,320,240,1,91,933,3492,4532
93,0,16483941,53327221,53464,571238,0,240,320,240,0,92,3528,13340,17183
94,0,16626911,53898463,142970,571242,0,0,320,240,1,93,934,3496,4495
95,0,16680369,54469702,53458,571239,0,0,320,240,0,94,3527,13336,17272
96,0,16823346,55040938,142977,571236,0,240,320,240,1,95,934,3496,4496
97,0,16876833,55612174,53487,571236,0,240,320,240,0,96,3527,13336,17284
98,0,17019810,56183410,142977,571236,0,0,320,240,1,97,934,3496,4543
99,0,17073321,56754646,53511,571236,0,0,320,240,0,98,3527,13336,17190
100,0,17216291,57325885,142970,571239,0,240,320,240,1,99,934,3496,4502
101,0,17269794,57897121,53503,571236,0,240,320,240,0,100,3527,13336,17301
102,0,17412763,58468360,142969,571239,0,0,320,240,1,101,934,3496,4527
103,0,17466314,59039596,53551,571236,0,0,320,240,0,102,3527,13336,17244
104,0,17609289,59610832,142975,571236,0,240,320,240,1,103,934,3496,4503
105,0,17662797,60182069,53508,571237,0,240,320,240,0,104,3527,13336,17267
106,0,17805763,60753305,142966,571236,0,0,320,240,1,105,934,3496,4503
107,0,17859299,61324541,53536,571236,0,0,320,240,0,106,3527,13336,17318
108,0,18002269,61895777,142970,571236,0,240,320,240,1,107,934,3496,4528
109,0,18055859,62467018,53590,571241,0,240,320,240,0,108,3527,13336,17276
110,0,18198839,63038254,142980,571236,0,0,320,240,1,109,935,3500,4533
111,0,18252403,63609496,53564,571242,0,0,320,240,0,110,3526,13332,17329
112,0,18395367,64180732,142964,571236,0,240,320,240,1,111,934,3496,4544
113,0,18448965,64751974,53598,571242,0,240,320,240,0,112,3527,13336,17214
114,0,18591938,65323213,142973,571239,0,0,320,240,1,113,935,3500,4501
115,0,18645539,65894452,53601,571239,0,0,320,240,0,114,3526,13332,17239
116,0,18788515,66465691,142976,571239,0,240,320,240,1,115,935,3500,4535
117,0,18842463,67036927,53948,571236,0,240,320,240,0,116,3553,13433,17378
118,0,18985419,67608163,142956,571236,0,0,320,240,1,117,942,3522,4553
119,0,19039046,68179404,53627,571241,0,0,320,240,0,118,3528,13340,17153
